algorithm,num_procs,num_doubles_per_proc,seconds
MPI_Alltoall,16,16,1.33581e-05
MPI_Alltoall,16,32,1.5234e-05
MPI_Alltoall,16,64,1.59588e-05
MPI_Alltoall,16,128,1.7616e-05
MPI_Alltoall,16,256,2.08502e-05
MPI_Alltoall,16,512,2.69458e-05
MPI_Alltoall,16,1024,3.9289e-05
MPI_Alltoall,16,2048,4.87621e-05
MPI_Alltoall,16,4096,7.08599e-05
MPI_Alltoall,16,8192,0.000109993
MPI_Alltoall,16,16384,0.000198689
MPI_Alltoall,16,32768,0.000412597
MPI_Alltoall,16,65536,0.000816002
MPI_Alltoall,16,131072,0.001667
MPI_Alltoall,16,262144,0.00318343
MPI_Alltoall,16,524288,0.00626127
RSM_Alltoall,16,16,9.47859e-05
RSM_Alltoall,16,32,9.3565e-05
RSM_Alltoall,16,64,9.2936e-05
RSM_Alltoall,16,128,9.4207e-05
RSM_Alltoall,16,256,9.73399e-05
RSM_Alltoall,16,512,0.000101314
RSM_Alltoall,16,1024,0.000114635
RSM_Alltoall,16,2048,0.000244802
RSM_Alltoall,16,4096,0.000281257
RSM_Alltoall,16,8192,0.000384781
RSM_Alltoall,16,16384,0.000602019
RSM_Alltoall,16,32768,0.00121505
RSM_Alltoall,16,65536,0.00243113
RSM_Alltoall,16,131072,0.00602431
RSM_Alltoall,16,262144,0.0171024
RSM_Alltoall,16,524288,0.0353277
AlltoallNoShiftBuffered,16,16,8.8932e-05
AlltoallNoShiftBuffered,16,32,8.54061e-05
AlltoallNoShiftBuffered,16,64,8.83019e-05
AlltoallNoShiftBuffered,16,128,9.15339e-05
AlltoallNoShiftBuffered,16,256,9.5104e-05
AlltoallNoShiftBuffered,16,512,0.00010276
AlltoallNoShiftBuffered,16,1024,0.000126287
AlltoallNoShiftBuffered,16,2048,0.00018293
AlltoallNoShiftBuffered,16,4096,0.000255456
AlltoallNoShiftBuffered,16,8192,0.000426474
AlltoallNoShiftBuffered,16,16384,0.000755097
AlltoallNoShiftBuffered,16,32768,0.00145812
AlltoallNoShiftBuffered,16,65536,0.00288808
AlltoallNoShiftBuffered,16,131072,0.00624177
AlltoallNoShiftBuffered,16,262144,0.0158562
AlltoallNoShiftBuffered,16,524288,0.0344635
RSM_Alltoall_comm,16,16,9.4955e-05
RSM_Alltoall_comm,16,32,8.9735e-05
RSM_Alltoall_comm,16,64,9.1677e-05
RSM_Alltoall_comm,16,128,9.2577e-05
RSM_Alltoall_comm,16,256,9.4084e-05
RSM_Alltoall_comm,16,512,9.673e-05
RSM_Alltoall_comm,16,1024,0.000111539
RSM_Alltoall_comm,16,2048,0.000250601
RSM_Alltoall_comm,16,4096,0.000270102
RSM_Alltoall_comm,16,8192,0.00035194
RSM_Alltoall_comm,16,16384,0.000499068
RSM_Alltoall_comm,16,32768,0.000844989
RSM_Alltoall_comm,16,65536,0.00156124
RSM_Alltoall_comm,16,131072,0.00326269
RSM_Alltoall_comm,16,262144,0.00739163
RSM_Alltoall_comm,16,524288,0.0151728
AlltoallNoShiftBuffered_comm,16,16,8.8501e-05
AlltoallNoShiftBuffered_comm,16,32,8.45029e-05
AlltoallNoShiftBuffered_comm,16,64,8.48911e-05
AlltoallNoShiftBuffered_comm,16,128,8.8043e-05
AlltoallNoShiftBuffered_comm,16,256,8.95362e-05
AlltoallNoShiftBuffered_comm,16,512,9.15301e-05
AlltoallNoShiftBuffered_comm,16,1024,0.00010242
AlltoallNoShiftBuffered_comm,16,2048,0.000123417
AlltoallNoShiftBuffered_comm,16,4096,0.000170771
AlltoallNoShiftBuffered_comm,16,8192,0.000230569
AlltoallNoShiftBuffered_comm,16,16384,0.00034925
AlltoallNoShiftBuffered_comm,16,32768,0.000582997
AlltoallNoShiftBuffered_comm,16,65536,0.00110488
AlltoallNoShiftBuffered_comm,16,131072,0.00216207
AlltoallNoShiftBuffered_comm,16,262144,0.00417744
AlltoallNoShiftBuffered_comm,16,524288,0.00935032

