algorithm,num_procs,num_doubles_per_proc,seconds
AlltoallNoShiftBuffered,64,64,0.000182583
AlltoallNoShiftBuffered,64,128,0.000140591
AlltoallNoShiftBuffered,64,256,0.000146414
AlltoallNoShiftBuffered,64,512,0.000158652
AlltoallNoShiftBuffered,64,1024,0.000252889
AlltoallNoShiftBuffered,64,2048,0.000285655
AlltoallNoShiftBuffered,64,4096,0.000430004
AlltoallNoShiftBuffered,64,8192,0.0007637
AlltoallNoShiftBuffered,64,16384,0.00136179
AlltoallNoShiftBuffered,64,32768,0.0026341
AlltoallNoShiftBuffered,64,65536,0.00522188
AlltoallNoShiftBuffered,64,131072,0.0110969
AlltoallNoShiftBuffered,64,262144,0.0298613
AlltoallNoShiftBuffered,64,524288,0.0602648
MPI_Alltoall,64,64,3.72429e-05
MPI_Alltoall,64,128,3.87321e-05
MPI_Alltoall,64,256,4.4616e-05
MPI_Alltoall,64,512,5.92089e-05
MPI_Alltoall,64,1024,8.35152e-05
MPI_Alltoall,64,2048,0.000136673
MPI_Alltoall,64,4096,0.000290735
MPI_Alltoall,64,8192,0.000688971
MPI_Alltoall,64,16384,0.00110005
MPI_Alltoall,64,32768,0.00153716
MPI_Alltoall,64,65536,0.0026964
MPI_Alltoall,64,131072,0.00777005
MPI_Alltoall,64,262144,0.0123478
MPI_Alltoall,64,524288,0.0197418
