algorithm,num_procs,num_doubles_per_proc,seconds
alltoall_local_bruck,64,64,0.0035068
alltoall_local_bruck,64,128,0.0043566
alltoall_local_bruck,64,256,0.000137901
alltoall_local_bruck,64,512,0.000146794
alltoall_local_bruck,64,1024,0.000193882
alltoall_local_bruck,64,2048,0.000272894
alltoall_local_bruck,64,4096,0.000432682
alltoall_local_bruck,64,8192,0.000826097
alltoall_local_bruck,64,16384,0.00138369
alltoall_local_bruck,64,32768,0.00257061
alltoall_local_bruck,64,65536,0.0062983
alltoall_local_bruck,64,131072,0.0114453
alltoall_local_bruck,64,262144,0.0325996
alltoall_local_bruck,64,524288,0.0630462
alltoall_local_bruck,64,1048576,0.120792
alltoall_local_bruck,64,2097152,0.246527
alltoall_local_bruck,64,4194304,0.518368
alltoall_local_bruck,64,8388608,1.03945
alltoall_local_bruck,64,16777216,2.05443
alltoall_local_bruck,64,33554432,4.15362
alltoall_local_bruck,64,67108864,8.3404
alltoall_bruck,64,64,4.27008e-05
alltoall_bruck,64,128,4.98056e-05
alltoall_bruck,64,256,6.00815e-05
alltoall_bruck,64,512,9.33886e-05
alltoall_bruck,64,1024,0.000162911
alltoall_bruck,64,2048,0.000294399
alltoall_bruck,64,4096,0.000609303
alltoall_bruck,64,8192,0.00117559
alltoall_bruck,64,16384,0.00227489
alltoall_bruck,64,32768,0.0055366
alltoall_bruck,64,65536,0.0100941
alltoall_bruck,64,131072,0.0196305
alltoall_bruck,64,262144,0.0388237
alltoall_bruck,64,524288,0.0805386
alltoall_bruck,64,1048576,0.159027
alltoall_bruck,64,2097152,0.318411
alltoall_bruck,64,4194304,0.639669
alltoall_bruck,64,8388608,1.28069
alltoall_bruck,64,16777216,2.55466
alltoall_bruck,64,33554432,5.12433
alltoall_bruck,64,67108864,10.3057
