algorithm,num_procs,num_doubles_per_proc,seconds
AlltoallVarSize_comm_only,16,16,9.284e-05
AlltoallVarSize_comm_only,16,32,9.02171e-05
AlltoallVarSize_comm_only,16,64,9.0312e-05
AlltoallVarSize_comm_only,16,128,9.0759e-05
AlltoallVarSize_comm_only,16,256,9.3616e-05
AlltoallVarSize_comm_only,16,512,9.77421e-05
AlltoallVarSize_comm_only,16,1024,0.000108924
AlltoallVarSize_comm_only,16,2048,0.000132965
AlltoallVarSize_comm_only,16,4096,0.000184837
AlltoallVarSize_comm_only,16,8192,0.000255112
AlltoallVarSize_comm_only,16,16384,0.000382457
AlltoallVarSize_comm_only,16,32768,0.00064365
AlltoallVarSize_comm_only,16,65536,0.00121804
AlltoallVarSize_comm_only,16,131072,0.00236609
AlltoallVarSize_comm_only,16,262144,0.00520136
AlltoallVarSize_comm_only,16,524288,0.0111813
